code,url,file,library,deleted,lastSeen,brand,model,package,type,describe,erpComponentName,price,stock,MOQ,category,firstSeen,pcbaMinQty,pcbaMinPrice
C10002,TexasInstruments-LM2596SX_5_0NOPB/C10002,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Texas-Instruments-LM2596SX-5-0-NOPB_C10002.pdf,expand,0,2026-07-24 06:07:31,Texas Instruments,LM2596SX-5.0/NOPB,TO-263-5,DC-DC Converters,-40℃~+125℃@(TJ) 1 150kHz 3A 4.5V~40V 5V Buck Buck Built-in Fixed No TO-263-5 DC-DC Converters ROHS,降压型 3A 4.5V~40V,1.3,15230,1,Power Management (PMIC),2026-06-07 09:28:36,1,1.3
C1002,Sunlord-GZ1608D601TF/C1002,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301640_Sunlord-GZ1608D601TF_C1002.pdf,base,0,2026-07-24 06:07:31,Sunlord,GZ1608D601TF,0603,Ferrite Beads,-55℃~+125℃ 1 200mA 450mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS,单路 0603磁珠 阻抗600Ω@100MHz,0.0187,1011165,1,Filters,2026-06-07 09:28:36,20,0.374
C1015,Sunlord-GZ2012D101TF/C1015,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301640_Sunlord-GZ2012D101TF_C1015.pdf,base,0,2026-07-24 06:07:31,Sunlord,GZ2012D101TF,0805,Ferrite Beads,1 100Ω@100MHz 150mΩ 800mA ±25% 0805 Ferrite Beads ROHS,单路 0805磁珠 阻抗100Ω@100MHz,0.0257,1672640,1,Filters,2026-06-07 09:28:36,20,0.514
C1017,Sunlord-GZ2012D601TF/C1017,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301640_Sunlord-GZ2012D601TF_C1017.pdf,base,0,2026-07-24 06:07:31,Sunlord,GZ2012D601TF,0805,Ferrite Beads,-55℃~+125℃ 1 300mΩ 500mA 600Ω@100MHz ±25% 0805 Ferrite Beads ROHS,单路 0805磁珠 阻抗600Ω@100MHz,0.0286,574818,1,Filters,2026-06-07 09:28:36,20,0.572
C1034,Sunlord-SDFL1608Q4R7KTF/C1034,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDFL1608Q4R7KTF_C1034.pdf,expand,0,2026-07-24 06:07:31,Sunlord,SDFL1608Q4R7KTF,0603,Inductors (SMD),15mA 2.1Ω 33MHz 35@10MHz 4.7uH ±10% 0603 Inductors (SMD) ROHS,4.7uH ±10%,0.0207,90184,1,"Inductors, Coils, Chokes",2026-06-07 09:28:36,20,0.414
C1035,Sunlord-SDFL1608S100KTF/C1035,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDFL1608S100KTF_C1035.pdf,base,0,2026-07-24 06:07:31,Sunlord,SDFL1608S100KTF,0603,Inductors (SMD),1.85Ω 10uH 17MHz 30@2MHz 3mA ±10% 0603 Inductors (SMD) ROHS,10uH ±10%,0.0302,738463,1,"Inductors, Coils, Chokes",2026-06-07 09:28:36,20,0.604
C1042,Sunlord-SDFL2012Q1R0KTF/C1042,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDFL2012Q1R0KTF_C1042.pdf,expand,0,2026-07-24 06:07:31,Sunlord,SDFL2012Q1R0KTF,0805,Inductors (SMD),1uH 400mΩ 45@10MHz 50mA 75MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS,1uH ±10%,0.054,72064,1,"Inductors, Coils, Chokes",2026-06-07 09:28:36,20,1.08
C1043,1395-CMI201209U2R2KT/C1043,https://www.lcsc.com/datasheet/lcsc_datasheet_2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI201209U2R2KT_C1043.pdf,expand,0,2026-07-24 06:07:31,FH (Guangdong Fenghua Advanced Tech),CMI201209U2R2KT,0805,Inductors (SMD),2.2uH 35@10MHz 50MHz 50mA 600mΩ ±10% 0805 Inductors (SMD) ROHS,2.2uH ±10%,0.027,159767,1,"Inductors, Coils, Chokes",2026-06-07 09:28:36,20,0.54
C1046,Sunlord-SDFL2012S100KTF/C1046,https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDFL2012S100KTF_C1046.pdf,base,0,2026-07-24 06:07:31,Sunlord,SDFL2012S100KTF,0805,Inductors (SMD),1.15Ω 10uH 15mA 24MHz 50@2MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS,10uH ±10%,0.0555,177553,1,"Inductors, Coils, Chokes",2026-06-07 09:28:36,20,1.11
C10487,VishayIntertech-SI2301CDS_T1GE3/C10487,https://www.lcsc.com/datasheet/lcsc_datasheet_1808272021_Vishay-Intertech-SI2301CDS-T1-GE3_C10487.pdf,base,0,2026-07-24 06:07:31,Vishay Intertech,SI2301CDS-T1-GE3,SOT-23,MOSFETs,-55℃~+150℃ 1 P-Channel 1.6W 10nC@4.5V 142mΩ@2.5V 1V 20V 3.1A 405pF 55pF 75pF P-Channel SOT-23 MOSFETs ROHS,SI2301CDS-T1-GE3,0.0985,150127,1,Transistors/Thyristors,2026-06-07 09:28:36,5,0.4925
